,0,1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Salt Creek (US 20) Fixed Station,un_know,38852,16,2233.8,2.2232,62.95401999999999,12.2,9.5,85.72,7.9,791.0,1.8,228.0,0.0
1,Salt Creek (ST 130) Fixed Station,un_know,38894,15,2233.8,2.2232,62.95401999999999,19.9,8.7,85.72,8.1,1031.0,5.0,228.0,0.0
2,Salt Creek (US 20) Fixed Station,un_know,38894,16,2233.8,2.2232,62.95401999999999,20.4,8.5,85.72,8.1,980.0,3.9,228.0,0.0
3,Salt Creek (ST 130) Fixed Station,un_know,38923,15,2233.8,2.2232,62.95401999999999,24.9,7.3,85.72,8.3,947.0,3.5,228.0,0.0
4,Salt Creek (US 20) Fixed Station,un_know,38923,16,2233.8,2.2232,62.95401999999999,25.1,7.1,85.72,8.3,872.0,2.4,228.0,0.0
5,Lake Louise Outlet,base,38930,1,1828.0,1.9180000000000001,54.3117,18.12,7.35,78.2,7.74,783.0,5.7,330.0,26.747426
6,Clark Ditch,base,38930,2,2716.0,1.276,36.1323,26.67,6.1,77.2,7.7,597.0,0.3,330.0,0.936549216
7,Unnamed Tributary (Weblos),base,38930,3,980.0,0.542,15.3477,27.55,2.51,31.2,7.23,820.0,0.02,330.0,0.026520826
8,Block Ditch,base,38930,4,469.0,0.684,19.3687,18.54,3.43,37.7,7.18,804.0,0.12,330.0,0.200814682
9,Salt Creek Headwaters,base,38930,5,4916.0,4.367,123.6597,22.05,5.08,56.2,7.37,601.0,0.4,138.0,4.27367923
10,Sager's Lake Outlet,base,38930,6,3556.0,3.347,94.7765,24.87,7.65,75.1,7.63,621.0,0.08,126.0,0.655095168
11,Beauty Creek,base,38930,7,2092.0,1.09,30.8654,16.56,6.3,65.6,7.2,930.0,0.11,96.0,0.293344762
12,Pepper Creek,base,38931,8,1937.0,1.733,49.0731,19.53,8.28,90.7,8.05,774.0,0.14,66.0,0.593588218
13,Unnamed Tributary (Mallards Landing),base,38931,9,1899.0,0.12,3.398,24.91,6.75,81.6,7.82,739.0,0.36,66.0,0.105691392
14,Squirrel Creek,base,38937,11,1576.0,0.042,1.1893,16.8,5.25,60.3,7.65,642.0,2.3,220.0,0.236337696
15,Robbin's Ditch ,base,38937,12,1403.0,2.2232,62.95401999999999,20.2,5.2,64.0,8.06,1378.0,0.49,228.0,0.0
16,Damon Run,base,38937,13,7014.0,2.325,65.8367,25.93,7.32,93.0,7.69,820.0,0.67,228.0,3.81115489
17,Salt Creek (Lenburg),base,38937,14,44335.0,2.2232,62.95401999999999,21.17,7.11,81.9,7.88,831.0,2.6,228.0,0.0
18,Salt Creek (ST 130) Fixed Station,un_know,38957,15,2233.8,2.2232,62.95401999999999,20.9,7.9,85.72,7.9,902.0,4.0,228.0,0.0
